# Red Alert MIX Filename Database
# Sources: OpenRA, ccmixar, RA95.EXE strings
# Total entries: 4839
# Format: HASH<tab>FILENAME
#
0x9cd30c63	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/MINOR-PRESSURE.ORAMAP MATCHES
0x08dd7e56	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/NINE-LIVES.ORAMAP MATCHES
0x56bb5f03	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/OPERATION-GOLDMINE.ORAMAP MATCHES
0x58d0a161	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/ORE-GARDENS.ORAMAP MATCHES
0xf2e92a13	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/ORE-LORD.ORAMAP MATCHES
0xde8aecee	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/OUTDOOR-TRAILS.ORAMAP MATCHES
0x24e62581	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/PIE-OF-ANIMOSITY.ORAMAP MATCHES
0xb2cd4b4c	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/PITFIGHT.ORAMAP MATCHES
0xef3d5a52	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/POLAR-DISORDER.ORAMAP MATCHES
0x6a4e1e00	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/POOL-PARTY.ORAMAP MATCHES
0xb40dfa18	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/PRESSURE.ORAMAP MATCHES
0xb3ed5b66	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/PROGRESS.ORAMAP MATCHES
0x65abcf88	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/RIDGES.ORAMAP MATCHES
0xe705a113	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/RITUAL-CIRCLE.ORAMAP MATCHES
0x3e7ca6cd	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/SHADOWFIEND-II.ORAMAP MATCHES
0xe9236efe	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/SIBERIAN-PASS.ORAMAP MATCHES
0x54cce91e	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/SIDESTEP.ORAMAP MATCHES
0x42b313bf	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/SINGLES.ORAMAP MATCHES
0xc1ad81bd	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/SUDDEN-DEATH.ORAMAP MATCHES
